ZaporednaStevilkaOsebeVPN,DatumPN,UraPN
1001,8.03.2022,12.05
1002,8.03.2022,12.05
2001,1.01.2022,21.46
3001,1.01.2022,13.08
3002,1.01.2022,13.08
4001,1.01.2022,13.25
4002,1.01.2022,13.25
5001,1.01.2022,18.15
6001,1.01.2022,11.00
7001,3.01.2022,05.30
7002,3.01.2022,05.30
8001,2.01.2022,07.00
9001,1.01.2022,11.05
9002,1.01.2022,11.05
10001,1.01.2022,00.16
10002,1.01.2022,00.16
11001,1.01.2022,05.25
12001,4.01.2022,04.45
13001,1.01.2022,12.24
13002,1.01.2022,12.24
14001,3.01.2022,17.10
14002,3.01.2022,17.10
15001,2.01.2022,14.26
16001,1.01.2022,21.45
16002,1.01.2022,21.45
17001,3.01.2022,18.45
18001,3.01.2022,17.30
19001,2.01.2022,12.28
20001,4.01.2022,07.00
20002,4.01.2022,07.00
21001,3.01.2022,16.00
21002,3.01.2022,16.00
22001,1.01.2022,01.00
23001,1.01.2022,20.30
23002,1.01.2022,20.30
24001,1.01.2022,19.30
24002,1.01.2022,19.30
25001,1.01.2022,14.50
26001,2.01.2022,16.35
27001,2.01.2022,08.40
28001,3.01.2022,14.32
28002,3.01.2022,14.32
28003,3.01.2022,14.32
29001,4.01.2022,13.30
29002,4.01.2022,13.30
30001,4.01.2022,12.50
30002,4.01.2022,12.50
31001,2.01.2022,14.20
32001,4.01.2022,07.54
32002,4.01.2022,07.54
33001,4.01.2022,15.00
33002,4.01.2022,15.00
34001,4.01.2022,12.45
35001,4.01.2022,09.20
35002,4.01.2022,09.20
36001,4.01.2022,16.24
36002,4.01.2022,16.24
37001,2.01.2022,18.35
38001,3.01.2022,10.50
38002,3.01.2022,10.50
39001,4.01.2022,23.40
40001,4.01.2022,09.37
41001,3.01.2022,16.10
42001,4.01.2022,14.05
42002,4.01.2022,14.05
43001,1.01.2022,01.50
44001,3.01.2022,11.25
44002,3.01.2022,11.25
45001,3.01.2022,16.40
45002,3.01.2022,16.40
46001,4.01.2022,14.20
46002,4.01.2022,14.20
47001,4.01.2022,21.00
47002,4.01.2022,21.00
48001,5.01.2022,04.50
49001,5.01.2022,18.30
49002,5.01.2022,18.30
50001,5.01.2022,05.15
51001,5.01.2022,15.30
51002,5.01.2022,15.30
52001,4.01.2022,17.54
53001,4.01.2022,14.25
53002,4.01.2022,14.25
53003,4.01.2022,14.25
54001,5.01.2022,06.00
55001,1.01.2022,15.50
55002,1.01.2022,15.50
56001,5.01.2022,09.26
56002,5.01.2022,09.26
57001,3.01.2022,08.20
58001,5.01.2022,22.00
59001,5.01.2022,14.03
60001,3.01.2022,14.10
60002,3.01.2022,14.10
61001,5.01.2022,18.15
61002,5.01.2022,18.15
61003,5.01.2022,18.15
62001,6.01.2022,00.07
63001,4.01.2022,18.57
64001,5.01.2022,17.30
64002,5.01.2022,17.30
65001,5.01.2022,12.24
65002,5.01.2022,12.24
65003,5.01.2022,12.24
66001,5.01.2022,17.40
67001,5.01.2022,16.25
67002,5.01.2022,16.25
68001,4.01.2022,11.20
68002,4.01.2022,11.20
69001,4.01.2022,13.40
69002,4.01.2022,13.40
70001,4.01.2022,15.00
70002,4.01.2022,15.00
71001,4.01.2022,10.10
71002,4.01.2022,10.10
72001,5.01.2022,18.30
73001,5.01.2022,13.15
73002,5.01.2022,13.15
74001,4.01.2022,14.10
74002,4.01.2022,14.10
75001,5.01.2022,15.19
76001,5.01.2022,15.20
76002,5.01.2022,15.20
76003,5.01.2022,15.20
77001,7.01.2022,00.32
77002,7.01.2022,00.32
78001,6.01.2022,16.05
79001,3.01.2022,20.30
79002,3.01.2022,20.30
80001,6.01.2022,20.55
81001,3.01.2022,18.45
82001,3.01.2022,06.30
83001,5.01.2022,07.00
84001,5.01.2022,20.10
85001,6.01.2022,19.30
85002,6.01.2022,19.30
86001,6.01.2022,21.40
86002,6.01.2022,21.40
87001,6.01.2022,12.16
88001,6.01.2022,16.25
88002,6.01.2022,16.25
89001,6.01.2022,19.30
89002,6.01.2022,19.30
90001,7.01.2022,08.00
91001,6.01.2022,09.30
91002,6.01.2022,09.30
92001,6.01.2022,16.10
92002,6.01.2022,16.10
93001,6.01.2022,17.40
93002,6.01.2022,17.40
94001,4.01.2022,14.52
94002,4.01.2022,14.52
95001,3.01.2022,07.33
95002,3.01.2022,07.33
96001,6.01.2022,11.10
96002,6.01.2022,11.10
97001,6.01.2022,14.30
97002,6.01.2022,14.30
98001,4.01.2022,07.55
99001,7.01.2022,10.00
100001,6.01.2022,14.21
101001,6.01.2022,13.18
101002,6.01.2022,13.18
102001,3.01.2022,15.40
102002,3.01.2022,15.40
103001,5.01.2022,23.15
104001,5.01.2022,22.05
105001,8.01.2022,08.15
106001,6.01.2022,14.50
106002,6.01.2022,14.50
107001,8.01.2022,11.30
107002,8.01.2022,11.30
108001,4.01.2022,11.10
109001,3.01.2022,16.30
109002,3.01.2022,16.30
110001,9.01.2022,04.00
111001,9.01.2022,4.05
111002,9.01.2022,4.05
111003,9.01.2022,4.05
111004,9.01.2022,4.05
111005,9.01.2022,4.05
