ZaporednaStevilkaOsebeVPN,VrstaCesteNaselja
1001,REGIONALNA CESTA II. REDA
1002,REGIONALNA CESTA II. REDA
2001,GLAVNA CESTA II. REDA
3001,AVTOCESTA
3002,AVTOCESTA
4001,GLAVNA CESTA
4002,GLAVNA CESTA
5001,NASELJE BREZ ULIČNEGA SISTEMA
6001,NASELJE Z ULIČNIM SISTEMOM
7001,NASELJE Z ULIČNIM SISTEMOM
7002,NASELJE Z ULIČNIM SISTEMOM
8001,AVTOCESTA
9001,NASELJE BREZ ULIČNEGA SISTEMA
9002,NASELJE BREZ ULIČNEGA SISTEMA
10001,NASELJE Z ULIČNIM SISTEMOM
10002,NASELJE Z ULIČNIM SISTEMOM
11001,REGIONALNA CESTA III. REDA
12001,LOKALNA CESTA
13001,AVTOCESTA
13002,AVTOCESTA
14001,REGIONALNA CESTA II. REDA
14002,REGIONALNA CESTA II. REDA
15001,NASELJE BREZ ULIČNEGA SISTEMA
16001,NASELJE Z ULIČNIM SISTEMOM
16002,NASELJE Z ULIČNIM SISTEMOM
17001,NASELJE Z ULIČNIM SISTEMOM
18001,NASELJE Z ULIČNIM SISTEMOM
19001,REGIONALNA CESTA III. REDA
20001,REGIONALNA CESTA II. REDA
20002,REGIONALNA CESTA II. REDA
21001,NASELJE Z ULIČNIM SISTEMOM
21002,NASELJE Z ULIČNIM SISTEMOM
22001,NASELJE BREZ ULIČNEGA SISTEMA
23001,NASELJE Z ULIČNIM SISTEMOM
23002,NASELJE Z ULIČNIM SISTEMOM
24001,GLAVNA CESTA II. REDA
24002,GLAVNA CESTA II. REDA
25001,REGIONALNA CESTA III. REDA
26001,AVTOCESTA
27001,LOKALNA CESTA
28001,NASELJE Z ULIČNIM SISTEMOM
28002,NASELJE Z ULIČNIM SISTEMOM
28003,NASELJE Z ULIČNIM SISTEMOM
29001,NASELJE Z ULIČNIM SISTEMOM
29002,NASELJE Z ULIČNIM SISTEMOM
30001,NASELJE Z ULIČNIM SISTEMOM
30002,NASELJE Z ULIČNIM SISTEMOM
31001,NASELJE Z ULIČNIM SISTEMOM
32001,NASELJE Z ULIČNIM SISTEMOM
32002,NASELJE Z ULIČNIM SISTEMOM
33001,NASELJE BREZ ULIČNEGA SISTEMA
33002,NASELJE BREZ ULIČNEGA SISTEMA
34001,NASELJE BREZ ULIČNEGA SISTEMA
35001,GLAVNA CESTA II. REDA
35002,GLAVNA CESTA II. REDA
36001,NASELJE Z ULIČNIM SISTEMOM
36002,NASELJE Z ULIČNIM SISTEMOM
37001,LOKALNA CESTA
38001,NASELJE Z ULIČNIM SISTEMOM
38002,NASELJE Z ULIČNIM SISTEMOM
39001,LOKALNA CESTA
40001,NASELJE BREZ ULIČNEGA SISTEMA
41001,NASELJE Z ULIČNIM SISTEMOM
42001,NASELJE Z ULIČNIM SISTEMOM
42002,NASELJE Z ULIČNIM SISTEMOM
43001,NASELJE Z ULIČNIM SISTEMOM
44001,NASELJE Z ULIČNIM SISTEMOM
44002,NASELJE Z ULIČNIM SISTEMOM
45001,REGIONALNA CESTA II. REDA
45002,REGIONALNA CESTA II. REDA
46001,NASELJE Z ULIČNIM SISTEMOM
46002,NASELJE Z ULIČNIM SISTEMOM
47001,AVTOCESTA
47002,AVTOCESTA
48001,AVTOCESTA
49001,NASELJE Z ULIČNIM SISTEMOM
49002,NASELJE Z ULIČNIM SISTEMOM
