ZaporednaStevilkaOsebeVPN,VremenskeOkoliscine,StanjePrometa,StanjeVozisca,VrstaVozisca
1001,OBLAČNO,GOST,SUHO,ASFALT
1002,OBLAČNO,GOST,SUHO,ASFALT
2001,JASNO,REDEK,MOKRO,ASFALT
3001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
3002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
4001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
4002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
5001,JASNO,REDEK,SUHO,ASFALT
6001,JASNO,REDEK,OSTALO,MAKADAM
7001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
7002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
8001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
9001,NEZNANO,NEZNANO,MOKRO,ASFALT
9002,NEZNANO,NEZNANO,MOKRO,ASFALT
10001,JASNO,REDEK,SUHO,ASFALT
10002,JASNO,REDEK,SUHO,ASFALT
11001,JASNO,REDEK,SUHO,ASFALT
12001,JASNO,REDEK,SUHO,ASFALT
13001,JASNO,KOLONA VOZIL,SUHO,ASFALT
13002,JASNO,KOLONA VOZIL,SUHO,ASFALT
14001,OBLAČNO,GOST,SUHO,ASFALT
14002,OBLAČNO,GOST,SUHO,ASFALT
15001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
16001,MEGLA,TEKOČ (NORMALEN),SUHO,ASFALT
16002,MEGLA,TEKOČ (NORMALEN),SUHO,ASFALT
17001,DEŽEVNO,NEZNANO,MOKRO,ASFALT
18001,JASNO,REDEK,SUHO,ASFALT
19001,OBLAČNO,REDEK,MOKRO,ASFALT
20001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
20002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
21001,JASNO,REDEK,SUHO,ASFALT
21002,JASNO,REDEK,SUHO,ASFALT
22001,MEGLA,REDEK,MOKRO,ASFALT
23001,JASNO,REDEK,SUHO,ASFALT
23002,JASNO,REDEK,SUHO,ASFALT
24001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
24002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
25001,JASNO,REDEK,MOKRO,ASFALT
26001,OBLAČNO,GOST,MOKRO,ASFALT
27001,MEGLA,REDEK,POLEDENELO - NEPOSIPANO,ASFALT
28001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
28002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
28003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
29001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
29002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
30001,OBLAČNO,REDEK,SUHO,ASFALT
30002,OBLAČNO,REDEK,SUHO,ASFALT
31001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
32001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
32002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
33001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
33002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
34001,OBLAČNO,REDEK,SUHO,ASFALT
35001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
35002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
36001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
36002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
37001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
38001,OBLAČNO,GOST,SUHO,BETON
38002,OBLAČNO,GOST,SUHO,BETON
39001,DEŽEVNO,REDEK,MOKRO,ASFALT
40001,NEZNANO,NEZNANO,OSTALO,ASFALT
41001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
42001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
42002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
43001,JASNO,REDEK,SUHO,ASFALT
44001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
44002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
45001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
45002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
46001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
46002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
47001,OBLAČNO,REDEK,MOKRO,ASFALT
47002,OBLAČNO,REDEK,MOKRO,ASFALT
48001,JASNO,REDEK,MOKRO,ASFALT
49001,DEŽEVNO,REDEK,MOKRO,ASFALT
49002,DEŽEVNO,REDEK,MOKRO,ASFALT
50001,OBLAČNO,NEZNANO,MOKRO,ASFALT
