ZaporednaStevilkaOsebeVPN,UporabaVarnostnegaPasu,VrednostAlkotesta,VrednostStrokovnegaPregleda
1001,DA,"0,00",0
1002,NEZNANO,"0,00",0
2001,DA,"0,00",0
3001,DA,"0,36",0
3002,DA,"0,00",0
4001,DA,"0,00",0
4002,DA,"0,00",0
5001,DA,"0,00",0
6001,DA,"0,00",0
7001,DA,"0,00",0
7002,DA,"0,00",0
8001,DA,"0,00",0
9001,DA,"0,00",0
9002,DA,"0,00",0
10001,NEZNANO,"0,00",0
10002,NEZNANO,"1,29",0
11001,DA,"0,00",0
12001,DA,"0,00",0
13001,DA,"0,00",0
13002,DA,"0,00",0
14001,DA,"0,00",0
14002,DA,"0,00",0
15001,DA,"0,00",0
16001,DA,"0,00",0
16002,DA,"0,28",0
17001,DA,"0,00",0
18001,NEZNANO,"0,00",0
19001,DA,"0,00",0
20001,DA,"0,00",0
20002,DA,"0,00",0
21001,DA,"0,00",0
21002,DA,"0,00",0
22001,NEZNANO,"0,00",0
23001,DA,"0,52",0
23002,DA,"0,00",0
24001,NE,"0,94","2,05"
24002,NE,"0,00",0
25001,DA,"0,00",0
26001,DA,"0,31",0
27001,DA,"0,00",0
28001,DA,"0,02",0
28002,DA,"0,00",0
28003,DA,"0,00",0
29001,DA,"0,00",0
29002,DA,"0,00",0
30001,DA,"0,00",0
30002,DA,"0,00",0
31001,NEZNANO,"0,00",0
32001,NE,"0,00",0
32002,NE,"0,00",0
33001,NE,"0,00",0
33002,DA,"0,00",0
34001,DA,"0,00",0
35001,DA,"0,00",0
35002,DA,"0,00",0
36001,NE,"0,00",0
36002,DA,"0,00",0
37001,DA,"0,00",0
38001,DA,"0,00",0
38002,DA,"0,00",0
39001,DA,"0,00",0
40001,DA,"0,00",0
41001,DA,"0,00",0
42001,DA,"0,00",0
42002,DA,"0,00",0
43001,DA,"0,00",0
44001,DA,"0,00",0
44002,DA,"0,00",0
45001,DA,"0,00",0
45002,DA,"0,00",0
46001,DA,"0,00",0
46002,DA,"0,00",0
47001,NE,"0,00",0
47002,DA,"0,00",0
48001,DA,"0,00",0
49001,DA,"0,00",0
49002,DA,"0,00",0
50001,NEZNANO,"0,00",0
51001,DA,"0,00",0
51002,DA,"0,00",0
52001,DA,"0,00",0
53001,DA,"0,00",0
53002,DA,"0,00",0
53003,DA,"0,00",0
54001,DA,"0,00",0
55001,DA,"0,00",0
55002,NEZNANO,"0,00",0
56001,DA,"0,00",0
56002,DA,"0,00",0
57001,DA,"0,00",0
58001,DA,"0,00",0
59001,DA,"0,00",0
60001,NEZNANO,"0,00",0
60002,DA,"0,00",0
61001,DA,"0,03",0
61002,NEZNANO,"0,00",0
61003,NEZNANO,"0,00",0
62001,DA,"0,28",0
63001,DA,"0,00",0
64001,NE,"0,00",0
64002,NEZNANO,"0,00",0
65001,DA,"0,00",0
65002,DA,"0,00",0
65003,DA,"0,00",0
66001,DA,"0,00",0
67001,DA,"0,00",0
67002,DA,"0,00",0
68001,DA,"0,00",0
68002,DA,"0,00",0
69001,DA,"0,00",0
69002,DA,"0,00",0
70001,DA,"0,00",0
70002,DA,"0,70",0
71001,DA,"0,00",0
71002,DA,"0,00",0
72001,DA,"0,00",0
73001,DA,"0,00",0
73002,NE,"0,00",0
74001,DA,"0,00",0
74002,DA,"0,00",0
75001,DA,"0,00",0
76001,DA,"0,00",0
76002,DA,"0,00",0
76003,DA,"0,00",0
77001,NE,"0,00",0
77002,DA,"0,77",0
78001,DA,"0,59",0
79001,DA,"0,00",0
79002,DA,"0,00",0
80001,DA,"0,75","1,19"
81001,DA,"0,00",0
82001,NEZNANO,"0,00",0
83001,DA,"0,00",0
84001,DA,"0,00",0
85001,NE,"0,00",0
