ZaporednaStevilkaOsebeVPN,GeoKoordinataX,GeoKoordinataY
2001,120644,555860
3001,123903,524585
3002,123903,524585
4001,122015,518225
4002,122015,518225
5001,111945,530219
6001,70608,437713
7001,100673,460366
7002,100673,460366
8001,60694,420239
9001,170807,554043
9002,170807,554043
10001,155326,550894
10002,155326,550894
11001,173494,588833
13001,78979,553639
13002,78979,553639
14001,123675,449526
14002,123675,449526
15001,154794,512668
16001,114088,466915
16002,114088,466915
17001,70604,438159
18001,122225,549427
19001,88807,448687
20001,134717,436799
20002,134717,436799
21001,143334,567631
21002,143334,567631
22001,43520,390479
23001,122250,451375
23002,122250,451375
24001,121217,537682
24002,121217,537682
25001,78390,485454
26001,110968,459654
27001,94418,516147
28001,158113,550548
28002,158113,550548
28003,158113,550548
29001,110886,469154
29002,110886,469154
30001,161740,512372
30002,161740,512372
32001,158259,549354
32002,158259,549354
33001,161598,563540
33002,161598,563540
34001,187206,591969
35001,57047,488383
35002,57047,488383
36001,99553,457777
36002,99553,457777
37001,124880,461323
38001,122564,449979
38002,122564,449979
39001,83491,413484
40001,137077,533461
41001,100005,461408
42001,104236,462203
42002,104236,462203
43001,155340,549393
44001,155177,550918
44002,155177,550918
45001,154087,549695
45002,154087,549695
46001,155662,552649
46002,155662,552649
47001,100090,457520
47002,100090,457520
48001,88572,483279
49001,159696,611180
49002,159696,611180
50001,84966,451603
51001,130661,536283
51002,130661,536283
52001,140006,546082
53001,109937,456170
53002,109937,456170
53003,109937,456170
54001,63762,436980
55001,80857,506100
55002,80857,506100
56001,136081,508490
56002,136081,508490
57001,115341,469947
58001,97904,458436
59001,119665,530398
60001,73877,515400
60002,73877,515400
61001,103732,462771
61002,103732,462771
61003,103732,462771
62001,168501,562306
63001,138631,538018
64001,96345,385885
64002,96345,385885
66001,92668,443496
67001,117300,492456
67002,117300,492456
68001,73218,514002
68002,73218,514002
69001,121656,520328
69002,121656,520328
70001,97068,522949
70002,97068,522949
71001,125341,515204
71002,125341,515204
72001,124381,533290
73001,102110,462278
73002,102110,462278
74001,56172,512160
74002,56172,512160
75001,124269,500544
76001,100785,460913
76002,100785,460913
76003,100785,460913
77001,101764,461891
77002,101764,461891
78001,125143,449576
79001,104187,459274
79002,104187,459274
80001,120577,548961
82001,159236,597133
83001,187783,601239
84001,170402,590052
85001,110544,468981
85002,110544,468981
86001,110448,488870
