ZaporednaStevilkaOsebeVPN,UpravnaEnotaStoritve,VNaselju,Lokacija,OpisKraja
1001,MARIBOR,NE,CESTA,CESTA
1002,MARIBOR,NE,CESTA,CESTA
2001,ŠMARJE PRI JELŠAH,DA,CESTA,CESTA
3001,CELJE,NE,CESTA,CESTA
3002,CELJE,NE,CESTA,CESTA
4001,CELJE,DA,CESTA,CESTA
4002,CELJE,DA,CESTA,CESTA
5001,ŠENTJUR PRI CELJU,DA,NASELJE,CESTA
6001,POSTOJNA,DA,NASELJE,PARKIRNI PROSTOR
7001,LJUBLJANA,DA,NASELJE,KRIŽIŠČE
7002,LJUBLJANA,DA,NASELJE,KRIŽIŠČE
8001,SEŽANA,NE,CESTA,CESTA
9001,PESNICA,DA,NASELJE,CESTA
9002,PESNICA,DA,NASELJE,CESTA
10001,MARIBOR,DA,NASELJE,CESTA
10002,MARIBOR,DA,NASELJE,CESTA
11001,MURSKA SOBOTA,NE,CESTA,CESTA
12001,GORNJA RADGONA,DA,CESTA,CESTA
13001,BREŽICE,NE,CESTA,CESTA
13002,BREŽICE,NE,CESTA,CESTA
14001,KRANJ,NE,CESTA,CESTA
14002,KRANJ,NE,CESTA,CESTA
15001,RADLJE OB DRAVI,DA,NASELJE,CESTA
16001,DOMŽALE,DA,NASELJE,CESTA
16002,DOMŽALE,DA,NASELJE,CESTA
17001,POSTOJNA,DA,NASELJE,PREHOD ZA PEŠCE
18001,ŠMARJE PRI JELŠAH,DA,NASELJE,CESTA
19001,VRHNIKA,NE,CESTA,CESTA
20001,RADOVLJICA,NE,CESTA,KRIŽIŠČE
20002,RADOVLJICA,NE,CESTA,KRIŽIŠČE
21001,PTUJ,DA,NASELJE,PARKIRNI PROSTOR
21002,PTUJ,DA,NASELJE,PARKIRNI PROSTOR
22001,PIRAN,DA,NASELJE,CESTA
23001,KRANJ,DA,NASELJE,CESTA
23002,KRANJ,DA,NASELJE,CESTA
24001,ŠMARJE PRI JELŠAH,NE,CESTA,CESTA
24002,ŠMARJE PRI JELŠAH,NE,CESTA,CESTA
