ZaporednaStevilkaOsebeVPN,VzrokNesrece,TipNesrece
1001,PREMIKI Z VOZILOM,BOČNO TRČENJE
1002,PREMIKI Z VOZILOM,BOČNO TRČENJE
2001,NEPRAVILNA STRAN / SMER VOŽNJE,PREVRNITEV VOZILA
3001,PREMIKI Z VOZILOM,OPLAŽENJE
3002,PREMIKI Z VOZILOM,OPLAŽENJE
4001,NEPRILAGOJENA HITROST,NALETNO TRČENJE
4002,NEPRILAGOJENA HITROST,NALETNO TRČENJE
5001,OSTALO,POVOŽENJE ŽIVALI
6001,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO
7001,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
7002,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
8001,OSTALO,POVOŽENJE ŽIVALI
9001,NEPRILAGOJENA HITROST,BOČNO TRČENJE
9002,NEPRILAGOJENA HITROST,BOČNO TRČENJE
10001,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V STOJEČE / PARKIRANO VOZILO
10002,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V STOJEČE / PARKIRANO VOZILO
11001,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT
12001,NEPRAVILNA STRAN / SMER VOŽNJE,PREVRNITEV VOZILA
13001,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO
13002,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO
14001,NEPRILAGOJENA HITROST,NALETNO TRČENJE
14002,NEPRILAGOJENA HITROST,NALETNO TRČENJE
15001,NEPRAVILNA STRAN / SMER VOŽNJE,PREVRNITEV VOZILA
16001,NEPRILAGOJENA HITROST,NALETNO TRČENJE
16002,NEPRILAGOJENA HITROST,NALETNO TRČENJE
17001,OSTALO,POVOŽENJE PEŠCA
18001,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT
19001,NEPRAVILNA STRAN / SMER VOŽNJE,PREVRNITEV VOZILA
20001,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
20002,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
21001,PREMIKI Z VOZILOM,BOČNO TRČENJE
21002,PREMIKI Z VOZILOM,BOČNO TRČENJE
22001,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT
23001,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
23002,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
24001,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT
24002,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT
25001,NEPRILAGOJENA HITROST,OSTALO
26001,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT
27001,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT
28001,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
28002,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
28003,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
29001,NEPRILAGOJENA HITROST,BOČNO TRČENJE
29002,NEPRILAGOJENA HITROST,BOČNO TRČENJE
30001,PREMIKI Z VOZILOM,BOČNO TRČENJE
30002,PREMIKI Z VOZILOM,BOČNO TRČENJE
31001,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT
32001,OSTALO,OSTALO
32002,OSTALO,OSTALO
33001,NEPRILAGOJENA HITROST,ČELNO TRČENJE
33002,NEPRILAGOJENA HITROST,ČELNO TRČENJE
34001,OSTALO,OSTALO
35001,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
35002,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
36001,PREMIKI Z VOZILOM,BOČNO TRČENJE
36002,PREMIKI Z VOZILOM,BOČNO TRČENJE
37001,OSTALO,OSTALO
38001,PREMIKI Z VOZILOM,OPLAŽENJE
38002,PREMIKI Z VOZILOM,OPLAŽENJE
39001,NEPRAVILNA STRAN / SMER VOŽNJE,POVOŽENJE PEŠCA
40001,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA
41001,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT
42001,PREMIKI Z VOZILOM,BOČNO TRČENJE
42002,PREMIKI Z VOZILOM,BOČNO TRČENJE
43001,NEPRILAGOJENA HITROST,OPLAŽENJE
44001,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
44002,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE
45001,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
45002,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
46001,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
46002,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE
47001,OSTALO,POVOŽENJE ŽIVALI
47002,OSTALO,POVOŽENJE ŽIVALI
48001,NEPRILAGOJENA HITROST,BOČNO TRČENJE
