ZaporednaStevilkaOsebeVPN,Povzrocitelj,Starost,Spol,Drzavljanstvo,VrstaUdelezenca,PoskodbaUdelezenca,MeseciIzpita
1001,POVZROČITELJ,39,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,0
1002,UDELEŽENEC,59,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,479
2001,POVZROČITELJ,33,MOŠKI,BOSNA IN HERCEGOVINA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,183
3001,POVZROČITELJ,38,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,204
3002,UDELEŽENEC,27,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,132
4001,UDELEŽENEC,65,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,408
4002,POVZROČITELJ,27,MOŠKI,SLOVENIJA,VOZNIK MOTORNEGA KOLESA,LAŽJA TELESNA POŠKODBA,4
5001,UDELEŽENEC,39,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,LAŽJA TELESNA POŠKODBA,258
6001,POVZROČITELJ,51,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,377
7001,POVZROČITELJ,29,MOŠKI,BOSNA IN HERCEGOVINA,VOZNIK OSEBNEGA AVTOMOBILA,LAŽJA TELESNA POŠKODBA,136
7002,UDELEŽENEC,59,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,LAŽJA TELESNA POŠKODBA,462
8001,UDELEŽENEC,20,MOŠKI,ITALIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,7
9001,POVZROČITELJ,66,MOŠKI,SLOVENIJA,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,93
9002,UDELEŽENEC,60,MOŠKI,SLOVENIJA,OSTALO,BREZ POŠKODBE,0
10001,UDELEŽENEC,44,MOŠKI,,VOZNIK OSEBNEGA AVTOMOBILA,BREZ POŠKODBE,286
