ZaporednaStevilkaOsebeVPN,KlasifikacijaNesrece
1001,Z MATERIALNO ŠKODO
1002,Z MATERIALNO ŠKODO
2001,Z MATERIALNO ŠKODO
3001,Z MATERIALNO ŠKODO
3002,Z MATERIALNO ŠKODO
4001,Z LAŽJO TELESNO POŠKODBO
4002,Z LAŽJO TELESNO POŠKODBO
5001,Z LAŽJO TELESNO POŠKODBO
6001,Z MATERIALNO ŠKODO
7001,Z LAŽJO TELESNO POŠKODBO
7002,Z LAŽJO TELESNO POŠKODBO
8001,Z MATERIALNO ŠKODO
9001,Z MATERIALNO ŠKODO
9002,Z MATERIALNO ŠKODO
10001,Z MATERIALNO ŠKODO
10002,Z MATERIALNO ŠKODO
11001,Z MATERIALNO ŠKODO
12001,Z MATERIALNO ŠKODO
13001,Z MATERIALNO ŠKODO
13002,Z MATERIALNO ŠKODO
14001,Z LAŽJO TELESNO POŠKODBO
14002,Z LAŽJO TELESNO POŠKODBO
15001,Z MATERIALNO ŠKODO
16001,Z LAŽJO TELESNO POŠKODBO
16002,Z LAŽJO TELESNO POŠKODBO
17001,Z LAŽJO TELESNO POŠKODBO
18001,Z LAŽJO TELESNO POŠKODBO
19001,Z LAŽJO TELESNO POŠKODBO
20001,Z MATERIALNO ŠKODO
20002,Z MATERIALNO ŠKODO
21001,Z MATERIALNO ŠKODO
21002,Z MATERIALNO ŠKODO
22001,Z MATERIALNO ŠKODO
23001,Z MATERIALNO ŠKODO
23002,Z MATERIALNO ŠKODO
24001,Z LAŽJO TELESNO POŠKODBO
24002,Z LAŽJO TELESNO POŠKODBO
25001,Z MATERIALNO ŠKODO
26001,Z MATERIALNO ŠKODO
27001,Z MATERIALNO ŠKODO
28001,Z MATERIALNO ŠKODO
28002,Z MATERIALNO ŠKODO
28003,Z MATERIALNO ŠKODO
29001,Z LAŽJO TELESNO POŠKODBO
29002,Z LAŽJO TELESNO POŠKODBO
30001,Z MATERIALNO ŠKODO
30002,Z MATERIALNO ŠKODO
31001,Z MATERIALNO ŠKODO
32001,Z LAŽJO TELESNO POŠKODBO
32002,Z LAŽJO TELESNO POŠKODBO
33001,Z MATERIALNO ŠKODO
33002,Z MATERIALNO ŠKODO
34001,Z MATERIALNO ŠKODO
35001,Z MATERIALNO ŠKODO
35002,Z MATERIALNO ŠKODO
36001,Z MATERIALNO ŠKODO
36002,Z MATERIALNO ŠKODO
37001,Z MATERIALNO ŠKODO
38001,Z MATERIALNO ŠKODO
38002,Z MATERIALNO ŠKODO
39001,Z MATERIALNO ŠKODO
40001,Z LAŽJO TELESNO POŠKODBO
41001,Z MATERIALNO ŠKODO
42001,Z MATERIALNO ŠKODO
42002,Z MATERIALNO ŠKODO
43001,Z MATERIALNO ŠKODO
44001,Z MATERIALNO ŠKODO
44002,Z MATERIALNO ŠKODO
45001,Z MATERIALNO ŠKODO
45002,Z MATERIALNO ŠKODO
46001,Z MATERIALNO ŠKODO
46002,Z MATERIALNO ŠKODO
47001,Z MATERIALNO ŠKODO
47002,Z MATERIALNO ŠKODO
48001,Z MATERIALNO ŠKODO
49001,Z MATERIALNO ŠKODO
49002,Z MATERIALNO ŠKODO
50001,Z MATERIALNO ŠKODO
51001,Z MATERIALNO ŠKODO
51002,Z MATERIALNO ŠKODO
52001,Z MATERIALNO ŠKODO
53001,Z LAŽJO TELESNO POŠKODBO
53002,Z LAŽJO TELESNO POŠKODBO
53003,Z LAŽJO TELESNO POŠKODBO
54001,Z MATERIALNO ŠKODO
55001,Z MATERIALNO ŠKODO
55002,Z MATERIALNO ŠKODO
56001,Z LAŽJO TELESNO POŠKODBO
56002,Z LAŽJO TELESNO POŠKODBO
57001,Z MATERIALNO ŠKODO
58001,Z LAŽJO TELESNO POŠKODBO
59001,Z MATERIALNO ŠKODO
60001,Z MATERIALNO ŠKODO
60002,Z MATERIALNO ŠKODO
61001,Z LAŽJO TELESNO POŠKODBO
61002,Z LAŽJO TELESNO POŠKODBO
61003,Z LAŽJO TELESNO POŠKODBO
62001,Z MATERIALNO ŠKODO
63001,Z MATERIALNO ŠKODO
64001,Z MATERIALNO ŠKODO
